Date,Price
01-07-2024,1198.80
02-07-2024,1210.00
03-07-2024,1206.85
04-07-2024,1196.60
05-07-2024,1212.90
08-07-2024,1206.65
09-07-2024,1192.10
10-07-2024,1192.85
11-07-2024,1206.00
12-07-2024,1197.80
15-07-2024,1213.45
16-07-2024,1262.10
18-07-2024,1282.15
19-07-2024,1300.55
22-07-2024,1301.05
23-07-2024,1329.40
24-07-2024,1303.85
25-07-2024,1271.85
26-07-2024,1292.25
29-07-2024,1296.05
30-07-2024,1311.65
31-07-2024,1298.30
01-08-2024,1279.05
02-08-2024,1297.30
05-08-2024,1238.70
06-08-2024,1240.30
07-08-2024,1299.35
08-08-2024,1374.70
09-08-2024,1397.20
12-08-2024,1360.00
13-08-2024,1331.55
14-08-2024,1346.70
16-08-2024,1379.00
19-08-2024,1391.30
20-08-2024,1405.00
21-08-2024,1382.90
22-08-2024,1364.70
23-08-2024,1352.85
26-08-2024,1490.45
27-08-2024,1470.80
28-08-2024,1505.20
29-08-2024,1663.15
30-08-2024,1693.10
02-09-2024,1757.70
03-09-2024,1823.60
04-09-2024,1762.50
05-09-2024,1806.80
06-09-2024,1775.00
09-09-2024,1710.25
10-09-2024,1850.55
11-09-2024,1759.90
12-09-2024,1733.20
13-09-2024,1822.45
16-09-2024,1816.65
17-09-2024,1816.00
18-09-2024,1758.00
19-09-2024,1713.85
20-09-2024,1699.15
23-09-2024,1699.95
24-09-2024,1692.00
25-09-2024,1684.25
26-09-2024,1670.00
27-09-2024,1676.00
30-09-2024,1603.95
01-10-2024,1664.00
03-10-2024,1635.00
04-10-2024,1621.15
07-10-2024,1590.00
08-10-2024,1656.80
09-10-2024,1726.85
10-10-2024,1730.00
11-10-2024,1734.35
14-10-2024,1769.45
15-10-2024,1922.20
16-10-2024,1997.45
17-10-2024,1939.95
18-10-2024,1892.10
21-10-2024,1807.10
22-10-2024,1707.70
23-10-2024,1713.30
24-10-2024,1742.85
25-10-2024,1682.35
28-10-2024,1801.90
29-10-2024,1942.60
30-10-2024,1908.85
31-10-2024,1916.55
01-11-2024,1971.30
04-11-2024,1981.25
05-11-2024,1944.15
06-11-2024,1984.50
07-11-2024,2160.15
08-11-2024,2194.00
11-11-2024,2178.40
12-11-2024,2070.80
13-11-2024,2014.70
14-11-2024,2046.80
18-11-2024,2002.80
19-11-2024,2015.00
